QRCode,Linha,OP,Produto,Sintoma,Origem,Qtd.,Usuário_Solicitante,Data.Solicitação,Hora.Solicitação,Usuário_Aprov/Reprov,Data.Aprovação,Hora.Aprovação,Status
83,9583,"Roys,Castle",2293,20030500AHN0122,CAIXA_INDIVIDUAL_DANIFICADA,Fornecedor,2.0,Arlequina.Coringa,01/11/2022,16:37:39,Kerri.Green,01/11/2022,16:52:51,Aprovado
84,9599,Valley.OfBowser3,2310,200209030000350,VISOR_TRINCADO,Fornecedor,12.0,Homem.DeFerro,03/11/2022,08:13:40,Coronel.Robert,03/11/2022,09:03:37,Aprovado
85,9600,Tomb.Pit,2285,2002090100I1003,VISOR_COM_RISCO,Fornecedor,15.0,Princesa.Leia,03/11/2022,08:16:53,Kerri.Green,04/11/2022,08:31:20,Aprovado
86,9601,Tomb.Pit,2285,501400000000028,TELABRANCA,Estrela.DaMorte,4.0,Princesa.Leia,03/11/2022,08:19:17,Kerri.Green,04/11/2022,08:31:22,Aprovado
87,9602,Tomb.Pit,2285,501500000000026,COMPONENTE_SMD_DANIFICADO,Estrela.DaMorte,1.0,Princesa.Leia,03/11/2022,08:22:05,Kerri.Green,04/11/2022,08:31:25,Aprovado
88,9611,Tomb.Pit,2285,200212000000309,COMPONENTE_SMD_DANIFICADO,Estrela.DaMorte,5.0,Princesa.Leia,03/11/2022,08:46:03,Kerri.Green,04/11/2022,08:31:28,Aprovado
89,9612,Tomb.Pit,2285,501400000000028,LCD_COM_RISCO,Fornecedor,1.0,Princesa.Leia,03/11/2022,08:47:42,Kerri.Green,04/11/2022,08:31:36,Aprovado
90,9613,Tomb.Pit,2285,2002090100I1003,COMPONENTE_SMD_DESLOCADO,Segunda.Casa,2.0,Princesa.Leia,03/11/2022,08:50:30,Kerri.Green,04/11/2022,08:31:39,Aprovado
91,9614,Tomb.Pit,2285,501400000000028,COMPONENTE_SMD_ALTERADO,Segunda.Casa,4.0,Princesa.Leia,03/11/2022,08:51:22,Kerri.Green,04/11/2022,08:31:42,Aprovado
92,9615,Tomb.Pit,2285,502200000000007,COMPONENTE_SMD_ALTERADO,Xi.Jinping,3.0,Princesa.Leia,03/11/2022,08:51:51,Kerri.Green,04/11/2022,08:31:47,Aprovado
93,9616,"Roys,Castle",2293,501400000000038,ERRO_LEITURA_CARTÃO_MAG.(MSR),Fornecedor,1.0,Arlequina.Coringa,03/11/2022,09:41:22,Kerri.Green,04/11/2022,08:29:11,Aprovado
94,9617,"Roys,Castle",2293,301501020000025,SEM_ÁUDIO,Estrela.DaMorte,1.0,Arlequina.Coringa,03/11/2022,09:42:29,Kerri.Green,04/11/2022,08:29:13,Aprovado
95,9618,"Roys,Castle",2293,2002090100I0853,TOUCHSCREEN_NÃO_ATUA(TP),Fornecedor,1.0,Arlequina.Coringa,03/11/2022,09:59:05,Kerri.Green,04/11/2022,08:29:14,Aprovado
